iter	Logloss
0	0.6514724445
1	0.6174369257
2	0.5897530715
3	0.5691960137
4	0.551996308
5	0.5385170611
6	0.5272638861
7	0.5186771466
8	0.5116079752
9	0.5061686221
10	0.5016909565
11	0.4980505192
12	0.4948900421
13	0.4925710812
14	0.4902311767
15	0.4882711795
16	0.4868663889
17	0.4856659732
18	0.4845041374
19	0.4833352471
20	0.4823462911
21	0.4814806333
22	0.4807815354
23	0.4801425087
24	0.4794980503
25	0.4788565182
26	0.478323509
27	0.47797726
28	0.4775486801
29	0.4770956933
30	0.4766878247
31	0.4762953376
32	0.4758821815
33	0.4755545231
34	0.4752511223
35	0.4750094738
36	0.474724942
37	0.4744515029
38	0.4742338302
39	0.4739930062
40	0.4737319274
41	0.4735288558
42	0.4732974588
43	0.473086826
44	0.4728746589
45	0.4726758355
46	0.4723967694
47	0.4721854741
48	0.472028984
49	0.471864881
50	0.4716406449
51	0.4714687406
52	0.4713022425
53	0.4710588093
54	0.4709289077
55	0.4707260947
56	0.4705893518
57	0.4704197174
58	0.4701711792
59	0.4700562716
60	0.4699416518
61	0.4697883854
62	0.4696387878
63	0.4695241486
64	0.4694266863
65	0.4693051586
66	0.4691536472
67	0.4690233865
68	0.4688995985
69	0.4687656358
70	0.4686636679
71	0.46850878
72	0.4683362554
73	0.4681736173
74	0.4680653739
75	0.4679783935
76	0.4678489557
77	0.4677504457
78	0.4676460324
79	0.4675268223
80	0.4673313029
81	0.4671913124
82	0.4670894734
83	0.4669626481
84	0.4668533003
85	0.4667476609
86	0.4666493682
87	0.4665567701
88	0.466472958
89	0.4663784585
90	0.4662594263
91	0.4661566141
92	0.4660278235
93	0.4659340118
94	0.4658035387
95	0.4657257473
96	0.465630266
97	0.4655531467
98	0.4654426036
99	0.4653728057
100	0.4653065586
101	0.465232843
102	0.4651377945
103	0.4650322983
104	0.4649185826
105	0.4648216345
106	0.4646827451
107	0.4646188329
108	0.464549249
109	0.4644425885
110	0.4643479148
111	0.4642674927
112	0.4641889399
113	0.4641038066
114	0.4639878838
115	0.4638797616
116	0.4638063528
117	0.4637443048
118	0.4636483617
119	0.4635630294
120	0.4634920525
121	0.4634256127
122	0.4633246892
123	0.4632556273
124	0.4632007653
125	0.4631321909
126	0.463062153
127	0.4629909081
128	0.4629050116
129	0.4627927098
130	0.462701525
131	0.4625881949
132	0.4625229627
133	0.4624196494
134	0.4623543462
135	0.4622782081
136	0.4622014128
137	0.4620981508
138	0.4620508167
139	0.4619420606
140	0.4618660976
141	0.4618087823
142	0.4617154367
143	0.4616443375
144	0.4615627882
145	0.4614866861
146	0.4614021343
147	0.461319255
148	0.4612613379
149	0.4611618193
150	0.4610593147
151	0.4609983536
152	0.4609196319
153	0.4608390455
154	0.4607736359
155	0.4606730734
156	0.4606035716
157	0.4605229227
158	0.4604457704
159	0.4603638386
160	0.4602799368
161	0.4601928272
162	0.4601198552
163	0.4600345042
164	0.4599011829
165	0.4598185633
166	0.4597424792
167	0.4596718715
168	0.4595743899
169	0.4594835605
170	0.459405166
171	0.4593425281
172	0.4592718496
173	0.4591662273
174	0.4591073856
175	0.4590325044
176	0.4589706503
177	0.4589010922
178	0.4588221837
179	0.4587567757
180	0.458679514
181	0.4585999503
182	0.4585031484
183	0.4584383499
184	0.4583753464
185	0.4583166947
186	0.4582446292
187	0.458183881
188	0.4581149037
189	0.4580569172
190	0.4579979064
191	0.4579344066
192	0.4578753373
193	0.4578014446
194	0.4577348236
195	0.4576574216
196	0.4575916426
197	0.4575305038
198	0.457472403
199	0.4574224872
200	0.4573627321
201	0.4573013077
202	0.4572437192
203	0.4571841251
204	0.4571290823
205	0.4570585373
206	0.4569983387
207	0.4569469136
208	0.4568767585
209	0.4568060227
210	0.4567483392
211	0.4566815949
212	0.4566190567
213	0.456559513
214	0.4565076803
215	0.4564545191
216	0.4563914488
217	0.4563281933
218	0.4562634426
219	0.4562164355
220	0.4561652145
221	0.4560844754
222	0.4560310774
223	0.4559673893
224	0.4559110237
225	0.455851738
226	0.455805796
227	0.4557400487
228	0.4556856192
229	0.455638131
230	0.4555931361
231	0.4555412559
232	0.4554794403
233	0.4554349636
234	0.4553903418
235	0.4553310405
236	0.4552795602
237	0.4552304217
238	0.4551750295
239	0.4551213942
240	0.4550752403
241	0.455026802
242	0.4549788817
243	0.4549300673
244	0.454844977
245	0.454798874
246	0.4547549829
247	0.4547166212
248	0.4546688929
249	0.4546233008
250	0.454576809
251	0.4545335204
252	0.4544923912
253	0.4544417943
254	0.4543860846
255	0.4543243685
256	0.454268517
257	0.4542195825
258	0.454171437
259	0.4541309658
260	0.45408682
261	0.4540318917
262	0.4539846405
263	0.4539363374
264	0.4538839893
265	0.4538210236
266	0.4537799706
267	0.4537425966
268	0.4536925132
269	0.4536435359
270	0.4535979746
271	0.4535503782
272	0.453506415
273	0.4534628999
274	0.4534143045
275	0.4533695574
276	0.4533158336
277	0.4532778495
278	0.4532246874
279	0.4531735513
280	0.4531373864
281	0.4530937956
282	0.4530442618
283	0.4529969115
284	0.4529562405
285	0.4528989936
286	0.4528522054
287	0.4528130693
288	0.4527721739
289	0.4527287413
290	0.4526881372
291	0.4526416189
292	0.4525997784
293	0.4525623774
294	0.4525128776
295	0.4524734703
296	0.452429329
297	0.452382897
298	0.4523179394
299	0.4522750066
300	0.4522416332
301	0.452203765
302	0.4521628533
303	0.4521169952
304	0.4520693793
305	0.4520211757
306	0.4519813863
307	0.4519459525
308	0.4518858094
309	0.4518541592
310	0.4518157158
311	0.4517809511
312	0.4517432664
313	0.4517044711
314	0.4516705628
315	0.4516276074
316	0.4515912231
317	0.4515499249
318	0.4515181959
319	0.451481242
320	0.4514418688
321	0.4514067383
322	0.4513665352
323	0.4513343058
324	0.4512902239
325	0.4512449258
326	0.4512063107
327	0.4511696833
328	0.4511322936
329	0.4510985169
330	0.4510523718
331	0.4510173314
332	0.4509751491
333	0.4509329524
334	0.4508851953
335	0.4508518743
336	0.4508151774
337	0.4507699006
338	0.4507281319
339	0.4506915718
340	0.4506543422
341	0.4506193495
342	0.4505872697
343	0.4505512768
344	0.450511404
345	0.4504590276
346	0.4504217314
347	0.4503847064
348	0.4503507346
349	0.4503113485
350	0.4502749248
351	0.4502430735
352	0.4502027481
353	0.4501696804
354	0.4501337178
355	0.4500976079
356	0.4500569704
357	0.4500164972
358	0.4499776384
359	0.4499435318
360	0.4499098958
361	0.4498734907
362	0.4498398655
363	0.4497905606
364	0.4497580774
365	0.4497137445
366	0.4496805057
367	0.44965293
368	0.4496244212
369	0.449591897
370	0.4495591968
371	0.4495224085
372	0.4494774737
373	0.4494381431
374	0.4494078547
375	0.4493638759
376	0.4493254404
377	0.4492935093
378	0.4492584248
379	0.4492253924
380	0.4491908885
381	0.4491555215
382	0.4491209721
383	0.4490886551
384	0.4490498684
385	0.4490239175
386	0.4489904357
387	0.4489628635
388	0.4489269506
389	0.4489008762
390	0.4488603848
391	0.4488278139
392	0.4487868892
393	0.4487593107
394	0.4487328727
395	0.448702487
396	0.4486611292
397	0.4486251567
398	0.448585384
399	0.4485581881
400	0.4485303949
401	0.4485059719
402	0.4484762014
403	0.4484474015
404	0.4484164445
405	0.4483884806
406	0.4483584776
407	0.4483215253
408	0.4482871928
409	0.448252308
410	0.4482241356
411	0.4481931943
412	0.4481548733
413	0.4481225216
414	0.4480861921
415	0.4480495834
416	0.4480169594
417	0.4479867504
418	0.4479466425
419	0.4479191156
420	0.4478902074
421	0.4478588402
422	0.447822442
423	0.4477899408
424	0.4477560763
425	0.4477222504
426	0.4476861865
427	0.4476462443
428	0.4476183838
429	0.4475895342
430	0.4475536013
431	0.4475256744
432	0.4475015083
433	0.4474746935
434	0.4474422907
435	0.4474125057
436	0.4473758164
437	0.4473491978
438	0.4473029611
439	0.447277727
440	0.4472473988
441	0.4472134627
442	0.4471881598
443	0.4471550517
444	0.4471262853
445	0.4471021523
446	0.4470593747
447	0.4470289041
448	0.4470003773
449	0.4469607781
450	0.446931343
451	0.44690335
452	0.4468768451
453	0.4468504417
454	0.4468146268
455	0.4467898375
456	0.4467471635
457	0.4467041404
458	0.4466779629
459	0.4466460377
460	0.4466118139
461	0.4465804473
462	0.4465574652
463	0.4465275598
464	0.4465005688
465	0.446473359
466	0.4464434258
467	0.44640901
468	0.4463799682
469	0.4463572313
470	0.4463286145
471	0.4462953482
472	0.4462678317
473	0.4462338134
474	0.4462060805
475	0.4461824091
476	0.4461387346
477	0.4461133451
478	0.4460864392
479	0.4460496496
480	0.4460170961
481	0.4459913681
482	0.4459661448
483	0.445938885
484	0.4459098928
485	0.445877181
486	0.4458434816
487	0.4458083092
488	0.4457843005
489	0.4457587871
490	0.4457281251
491	0.4456976195
492	0.4456702826
493	0.4456445874
494	0.4456122803
495	0.4455744813
496	0.4455467063
