iter	Passed	Remaining
0	738	368729
1	1430	356230
2	2149	356116
3	2716	336812
4	3262	322973
5	3841	316300
6	4436	312464
7	5030	309368
8	5542	302372
9	6082	298038
10	6629	294695
11	7109	289112
12	7619	285423
13	8122	281966
14	8607	278324
15	9076	274557
16	9549	271308
17	10012	268117
18	10556	267235
19	11083	265998
20	11610	264829
21	12147	263930
22	12570	260708
23	12992	257682
24	13457	255697
25	13986	254982
26	14390	252099
27	14763	248877
28	15198	246852
29	15647	245144
30	16067	243086
31	16520	241607
32	16980	240304
33	17423	238803
34	17857	237250
35	18274	235531
36	18687	233842
37	19131	232603
38	19544	231029
39	19968	229643
40	20420	228605
41	20817	227008
42	21264	225992
43	21715	225051
44	22150	223970
45	22598	223037
46	23091	222567
47	23540	221676
48	23962	220548
49	24394	219552
50	24808	218415
51	25232	217391
52	25662	216433
53	26156	216031
54	26501	214421
55	26933	213544
56	27273	211965
57	27721	211253
58	28178	210622
59	28521	209154
60	28893	207941
61	29321	207141
62	29751	206370
63	30167	205514
64	30513	204208
65	30949	203517
66	31382	202813
67	31820	202155
68	32232	201336
69	32654	200594
70	33007	199440
71	33438	198772
72	33919	198405
73	34383	197940
74	34818	197302
75	35162	196170
76	35633	195751
77	36013	194840
78	36413	194049
79	36837	193394
80	37265	192768
81	37691	192134
82	38114	191490
83	38573	191032
84	39005	190439
85	39357	189466
86	39757	188736
87	40163	188037
88	40583	187415
89	41019	186865
90	41452	186308
91	41886	185755
92	42239	184853
93	42645	184191
94	43083	183672
95	43413	182698
96	43835	182118
97	44173	181201
98	44616	180720
99	44956	179824
100	45303	178971
101	45716	178385
102	46138	177834
103	46550	177250
104	46987	176764
105	47414	176240
106	47839	175710
107	48183	174886
108	48572	174238
109	49004	173743
110	49409	173154
111	49757	172375
112	50161	171793
113	50580	171265
114	51015	170791
115	51421	170224
116	51766	169458
117	52104	168676
118	52541	168222
119	52965	167722
120	53308	166974
121	53640	166196
122	54009	165541
123	54345	164790
124	54690	164071
125	55057	163425
126	55419	162766
127	55816	162215
128	56256	161791
129	56706	161394
130	57086	160800
131	57509	160329
132	57924	159836
133	58343	159355
134	58703	158716
135	59062	158079
136	59497	157645
137	59948	157256
138	60286	156571
139	60764	156252
140	61197	155813
141	61544	155161
142	61964	154695
143	62397	154260
144	62838	153845
145	63224	153298
146	63639	152821
147	64053	152343
148	64399	151705
149	64870	151364
150	65342	151022
151	65739	150508
152	66088	149886
153	66513	149438
154	66885	148873
155	67285	148372
156	67701	147907
157	68135	147482
158	68534	146983
159	68943	146505
160	69383	146093
161	69828	145691
162	70289	145322
163	70732	144914
164	71189	144536
165	71667	144198
166	72094	143756
167	72495	143265
168	72940	142860
169	73394	142471
170	73828	142044
171	74220	141537
172	74633	141069
173	75095	140695
174	75544	140297
175	75946	139810
176	76382	139387
177	76820	138966
178	77244	138522
179	77670	138081
180	78112	137667
181	78465	137099
182	78900	136674
183	79314	136214
184	79716	135733
185	80072	135176
186	80533	134796
187	80946	134336
188	81299	133778
189	81713	133321
190	82068	132770
191	82488	132325
192	82912	131886
193	83362	131488
194	83759	131007
195	84124	130479
196	84571	130076
197	84975	129609
198	85411	129190
199	85833	128750
200	86226	128266
201	86623	127791
202	87046	127353
203	87475	126925
204	87892	126479
205	88345	126085
206	88799	125691
207	89187	125205
208	89604	124759
209	90044	124347
210	90471	123915
211	90876	123455
212	91276	122988
213	91705	122559
214	92107	122096
215	92461	121570
216	92907	121165
217	93350	120756
218	93779	120328
219	94173	119856
220	94632	119468
221	95091	119078
222	95565	118706
223	95989	118272
224	96427	117855
225	96826	117391
226	97237	116941
227	97676	116526
228	98113	116107
229	98497	115628
230	98861	115124
231	99258	114660
232	99727	114279
233	100135	113829
234	100567	113405
235	101028	113014
236	101465	112596
237	101902	112178
238	102322	111740
239	102754	111317
240	103114	110816
241	103555	110401
242	104004	109996
243	104402	109536
244	104877	109157
245	105304	108729
246	105759	108328
247	106121	107833
248	106473	107328
249	106882	106882
250	107292	106437
251	107655	105946
252	108020	105458
253	108449	105034
254	108886	104616
255	109338	104213
256	109766	103786
257	110179	103346
258	110574	102889
259	110961	102426
260	111394	102004
