model,fold,best_iter,balanced_accuracy,train_rows,valid_rows,GALAXY_recall,QSO_recall,STAR_recall
lgb,1,1614,0.9638708902253933,561876,115470,0.9680115502808095,0.9715310085791113,0.9520701118162587
lgb,2,1555,0.963966576286026,561876,115470,0.9657597753523366,0.9722566050621025,0.9538833484436385
lgb,3,1538,0.9634163638532537,561877,115469,0.9656803009430963,0.9712322335567032,0.9533365570599613
lgb,4,1550,0.963788762369833,561877,115469,0.9671903147186606,0.9717432132491036,0.9524327591417346
lgb,5,1548,0.9636233327402399,561877,115469,0.9651372258132881,0.9707614819873656,0.9549712904200665
xgb,1,3153,0.9635546511101145,561876,115470,0.9683426936526438,0.9717017371633446,0.9506195225143548
xgb,2,3270,0.9639381811394706,561876,115470,0.9662366218077779,0.9715736907251696,0.9540042308854639
xgb,3,2945,0.9631169673995577,561877,115469,0.9653226661015153,0.9709334585342951,0.9530947775628626
xgb,4,2968,0.963297470840294,561877,115469,0.967455229416128,0.9712736896021854,0.9511634935025688
xgb,5,2919,0.9633842111390525,561877,115469,0.9651239800784147,0.9704200102441523,0.9546086430945905
cb,1,1602,0.9630187932064606,561876,115470,0.9529246582600402,0.9751163088480089,0.9610154125113327
cb,2,1999,0.9630131782874525,561876,115470,0.951560347568083,0.9750736267019505,0.962405560592324
cb,3,1719,0.9630253613134491,561877,115469,0.9517590335911836,0.9754577660164753,0.9618592843326886
cb,4,1924,0.962538074261683,561877,115469,0.9529379039949136,0.9746884070343179,0.9599879117558174
cb,5,1891,0.9627531698677355,561877,115469,0.9517590335911836,0.9752432986170394,0.9612571773949834
