Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16449276,"Please Hire Me","2026-08-09 19:21:59",137.130,15,adarshreddyb
2,16489959,"Udit Jain","2026-08-09 21:37:25",126.010,14,uditjain13
3,16659846,feng_jack777,"2026-08-09 15:55:49",114.610,15,fengjack777
4,16553044,shukunxiong,"2026-08-09 16:03:26",113.910,15,shukunxiong
5,16386154,Gerwyn,"2026-08-09 15:40:45",110.205,11,gerwynng
6,16365114,"Rishi Gupta","2026-08-10 00:42:02",109.170,11,rishigupta07
7,16547877,Tanuki_boosting,"2026-08-09 04:42:28",109.165,10,miyamotodaiya
8,16368992,"Mohammad Shadab Alam","2026-08-10 07:33:47",108.125,16,outliar
9,16342120,"R & A &  P & W & T","2026-08-09 10:11:31",107.860,20,"arunodhayan,peilwang,pilkwang,rashmibanthia,tonylica"
10,16344920,juliencst,"2026-08-09 21:32:06",107.750,15,juliencst
11,16368010,"Simon Rüba","2026-08-09 08:55:13",107.640,15,simonrba
12,16324298,"Darío Ávalos - Quantum Howl","2026-08-09 13:55:55",107.595,15,"andrescarmona,darovalos"
13,16510746,"Zhiyuan Zeng99","2026-08-09 15:48:25",106.845,12,zhiyuanzeng99
14,16496668,Wraith53,"2026-08-10 02:04:04",106.245,17,wraith53
15,16480470,"AL Najafi","2026-08-09 06:14:09",105.310,6,alnajafi
16,16306963,"ねぼすけAI Agent Security","2026-08-10 00:00:23",105.025,15,isakatsuyoshi
17,16538914,zzzxff,"2026-08-09 08:59:55",104.495,15,zzzxff
18,16515620,"yu liu_001","2026-08-09 09:02:45",103.950,15,yuliu001
19,16557718,"Junyi Liummm","2026-08-09 16:24:21",103.665,7,junyiliummm
20,16564892,"Antoniu Gugu","2026-08-09 20:12:30",103.170,15,antoniu
21,16606669,NV_EA,"2026-08-08 04:54:43",102.115,1,kirekara
22,16440982,"Takuya Ando","2026-08-10 01:07:20",101.915,17,takuyaando11
23,16558377,"Jinzhe Tu","2026-08-08 13:54:05",101.600,5,jinzhetu
24,16552838,neilus,"2026-08-09 16:43:00",100.925,9,neilus
25,16456407,DSML,"2026-08-09 19:01:49",100.840,5,"hiramotoreiya,hiromasasakamoto,jjjhoon"
26,16672550,YL_Math,"2026-08-08 00:12:22",99.870,10,sheepjnu
27,16471978,Downheart,"2026-08-09 14:22:09",99.515,13,gangyub
28,16394834,"Takamichi Toda","2026-08-10 00:06:09",98.820,16,takamichitoda
29,16385219,김광륜,"2026-08-09 00:03:04",98.640,10,dev7halo
30,16579678,Arunendratripathi_03,"2026-08-08 13:41:37",98.415,10,arunendratripathi03
31,16325637,"Omprakash Patra","2026-08-08 19:35:00",98.240,5,omprakashpy
32,16427676,"guo dashuai","2026-08-09 22:53:00",97.210,15,"guoooooooss,guoqingu,huanligong"
33,16320863,Cerbex,"2026-08-10 00:00:19",97.160,15,uchechukwuajuzieogu
34,16510654,"Zhitong Zhu","2026-08-09 15:57:36",97.065,4,zzzhitong
35,16389032,Civitasmass,"2026-08-09 17:01:46",96.840,10,godhand
36,16534361,ibyyue,"2026-08-09 04:24:16",96.705,10,ibyyue
37,16368759,MOONMOON,"2026-08-09 16:19:47",96.525,6,kevin1742064161
38,16400836,dpquoc,"2026-08-09 15:13:36",96.510,13,dpquoc
39,16344112,"Eesh saxena","2026-08-09 03:10:39",96.435,15,eeshsaxena
40,16582792,SwapIY,"2026-08-09 03:48:39",96.435,15,swapiy
41,16384678,JohnLussier,"2026-08-10 00:02:53",96.375,16,johnlussier
