title,slug,project_path,rank,total,best_score,metric,score_order,source,last_synced
Predicting Students Test Score,,competitions/predicting-students-test-scores,624,1741,,,,manual,
Thermophysical Property: Melting Point,melting-point,competitions/thermophysical-melting-point,309,1177,35.59526,,,kaggle,2026-05-11 15:17
LLM Classification,llm-classification-finetuning,competitions/llm-classification-finetuning,153,256,1.07413,,,kaggle,2026-05-11 15:17
Astronomical Classification,mallorn-astronomical-classification-challenge,competitions/astronomical-classification,285,894,0.5864,,,kaggle,2026-05-11 15:18
Predicting Heart Disease,2026-ptnk-ai-predicting-heart-disease,competitions/predicting-heart-disease,70,536,,,,manual,
M5 Forecasting Accuracy,m5-forecasting-accuracy,,,5582,,,,kaggle,2026-05-11 15:18
Santa 2025,santa-2025,,,3359,,,,kaggle,2026-05-11 15:18
Deep Past Initiative Machine Translation,deep-past-initiative-machine-translation,,,2674,,,,kaggle,2026-05-11 15:18
Rental Product Recommendation System,rental-product-recommendation-system,,,278,,,,kaggle,2026-05-11 15:18
Playground Series S6E2,playground-series-s6e2,,2407,4371,0.95323,,,kaggle,2026-05-11 15:18
Playground Series S6E1,playground-series-s6e1,,,4319,8.76542,,,kaggle,2026-05-11 15:18
Playground Series S6E4,playground-series-s6e4,,1602,4316,0.96735,,,kaggle,2026-05-11 15:18
Playground Series S6E3,playground-series-s6e3,,2485,4143,0.91338,,,kaggle,2026-05-11 15:18
Playground Series S5E11,playground-series-s5e11,,2010,3726,0.92150,,,kaggle,2026-05-11 15:18
Playground Series S6E5,playground-series-s6e5,,23,1256,0.95419,,,kaggle,2026-05-11 15:18
